subject,predicate,object,comment_count,sum_W_i,sum_like_count,strength,mean_burst_risk,source_community,target_community
AI时代,迎来,新拐点,1,0.683880724834272,502.0,343.3081238668045,0.316119275165728,0,0
Meta,裁,两成员工,1,0.683880724834272,502.0,343.3081238668045,0.316119275165728,1,1
行业转型,守住,从业者的温度,1,0.683880724834272,500.0,341.940362417136,0.316119275165728,2,2
AI,总结,观点,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675,3,3
他,会附和,你,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675,4,4
你,反驳,它的论点,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675,4,4
全员openclaw,会玩,梗,1,0.6767424102326032,217.0,146.8531030204749,0.3232575897673968,5,5
程序员的快乐,是,简单,1,0.6767424102326032,217.0,146.8531030204749,0.3232575897673968,6,6
AI,会造成,结构调整,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642,3,3
沟通类工种,是,难替代的,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642,7,7
评论者,思考,后期怎么办,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642,59,59
春风里派对,能玩,方式,1,0.6767424102326032,147.0,99.48113430419266,0.3232575897673968,8,8
程序员的脑洞,大,程度,1,0.6767424102326032,147.0,99.48113430419266,0.3232575897673968,190,190
评论者,跟风,养龙虾,3,1.8302378586650647,125.0,76.25991077771104,0.3899207137783118,59,59
评论者,感觉,会有一大片巨大的瓜田,1,0.6420833415744945,99.0,63.56625081587496,0.35791665842550546,59,59
人类,在用,搜索引擎,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763,3,3
同事,没得到,有效的解决方案,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763,10,10
同事,问了,ai,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763,10,10
专业的人,排除,风险和雷,2,1.2201585724433766,103.0,62.8381664808339,0.3899207137783117,11,11
工具,让脱离,简单劳动,1,0.6617168455104903,78.0,51.61391394981824,0.33828315448950974,10,10
评论者,创新,优化自己的工具,1,0.6617168455104903,78.0,51.61391394981824,0.33828315448950974,59,59
科技圈,懂,整活,1,0.6767424102326032,63.0,42.634771844654,0.3232575897673968,12,12
评论者,玩明白了,谐音梗,1,0.6767424102326032,63.0,42.634771844654,0.3232575897673968,59,59
他,会种地,地,1,0.6308317783800358,64.0,40.37323381632229,0.3691682216199642,4,4
农学生,会被淘汰,AI,1,0.6308317783800358,64.0,40.37323381632229,0.3691682216199642,3,3
你公司,参考,这个,1,0.6308875915371621,51.0,32.175267168395266,0.3691124084628379,13,13
AI,让失业,不少人,1,0.6308875915371621,47.0,29.651716802246618,0.3691124084628379,3,3
用户,付费做,肉鸡,1,0.6468471565572335,45.0,29.108122045075504,0.35315284344276654,27,27
AI,让,好多人没工作,1,0.6355765003324773,45.0,28.600942514961478,0.36442349966752274,3,3
办公室氛围,有,梗,1,0.6767424102326032,41.0,27.74643881953673,0.3232575897673968,5,5
破局行动家,顶,十年,1,0.6767424102326032,41.0,27.74643881953673,0.3232575897673968,14,14
只看报表不看主权,是,分析国家命运最大的盲区,1,0.6312370646669092,42.0,26.511956716010186,0.3687629353330908,15,15
只谈经济不谈政治,是,经济学最大的虚伪,1,0.6312370646669092,42.0,26.511956716010186,0.3687629353330908,16,16
AI,替代,律师,1,0.6274716347567447,39.0,24.471393755513045,0.3725283652432553,3,3
法官,坐在,那,1,0.6274716347567447,39.0,24.471393755513045,0.3725283652432553,17,17
人,失业,工作,3,1.9214035945792443,37.0,24.40625122568204,0.3595321351402519,18,18
AI,干了,人的活,1,0.65962841150492,37.0,24.40625122568204,0.34037158849508,3,3
人,消费,公司的产品,1,0.65962841150492,37.0,24.40625122568204,0.34037158849508,18,18
AI或脚本工具,替代,技术岗,1,0.6355765003324773,38.0,24.151907012634137,0.36442349966752274,19,19
技术岗,写,这些工具,1,0.6355765003324773,38.0,24.151907012634137,0.36442349966752274,19,19
AI,替代,岗位,3,1.947768265604577,38.0,23.81163068606634,0.350743911465141,3,3
我,刷,视频,1,0.6322103239794447,37.0,23.39178198723945,0.36778967602055535,20,20
我,用,别人的故事,1,0.6322103239794447,37.0,23.39178198723945,0.36778967602055535,20,20
AI,取代,人类,4,2.944472361333186,37.0,23.119604178998895,0.26388190966670355,3,3
AI,处理,标准化重复性任务,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299,3,3
人类,擅长,人际互动,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299,3,3
人类,擅长,创意发想,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299,3,3
人类,擅长,策略决策,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299,3,3
人类,擅长,跨领域整合,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299,3,3
AI,裁掉,程序员,1,0.6355765003324773,36.0,22.88075401196918,0.36442349966752274,3,3
该工具,烧,4000万tokens,1,0.6071847125498762,36.0,21.85864965179554,0.39281528745012384,21,21
OpenClaw,会玩,养虾,1,0.6184067182363256,35.0,21.644235138271398,0.38159328176367435,22,22
评论者,养,小龙虾,1,0.6184067182363256,35.0,21.644235138271398,0.38159328176367435,59,59
ai,给,假的论据,1,0.6561778290445325,31.0,20.341512700380505,0.3438221709554675,10,10
评论者,把ai当,外置大脑,1,0.6561778290445325,31.0,20.341512700380505,0.3438221709554675,59,59
该工具,提高,效率,1,0.6248541669999701,31.0,19.370479176999073,0.3751458330000299,21,21
男神,控制,嘴,1,0.6167492590889161,31.0,19.1192270317564,0.3832507409110839,23,23
OpenClaw,做,事,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,22,22
OpenClaw,聊天,天,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,22,22
实战经验,有,参考价值,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,24,24
征集,有,意思,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,25,25
案例,集中在,复杂数据分析,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,26,26
案例,集中在,自动化流程,1,0.6071847125498766,31.0,18.822726089046174,0.3928152874501234,26,26
360,有,九种方法,1,0.6326400905984557,29.0,18.346562627355215,0.3673599094015443,27,27
我,会养,龙虾,1,0.6100792862216883,30.0,18.302378586650647,0.3899207137783117,20,20
我,养,龙虾,1,0.6100792862216883,30.0,18.302378586650647,0.3899207137783117,20,20
大厂,裁员,员工,1,0.6426770995129161,28.0,17.99495878636165,0.3573229004870839,4,4
程序员,找,工作,1,0.6426770995129161,28.0,17.99495878636165,0.3573229004870839,3,18
老师,制造,焦虑,1,0.6426770995129161,28.0,17.99495878636165,0.3573229004870839,28,28
老师,把AI当,神,1,0.6426770995129161,28.0,17.99495878636165,0.3573229004870839,28,28
评论者,失去,信心,1,0.6426770995129161,28.0,17.99495878636165,0.3573229004870839,59,59
小龙虾,会搞,AI,1,0.6184067182363256,29.0,17.933794828853443,0.38159328176367435,59,3
谁,拒绝,小龙虾,1,0.6184067182363256,29.0,17.933794828853443,0.38159328176367435,59,59
对方,甩过来,ai回答,1,0.6561778290445323,27.0,17.71680138420237,0.34382217095546774,29,29
我,会失去,交流的欲望,1,0.6561778290445323,27.0,17.71680138420237,0.34382217095546774,20,20
人类,有,优势,1,0.6248541669999701,28.0,17.495916675999162,0.3751458330000299,3,3
联想,会玩,脑洞,1,0.6184067182363256,28.0,17.315388110617118,0.38159328176367435,20,20
互联网风口,是,理科生的春天,1,0.6308317783800358,26.0,16.40162623788093,0.3691682216199642,30,30
我们艺术生,飘着,冬雪,1,0.6308317783800358,26.0,16.40162623788093,0.3691682216199642,31,31
现在,是,文科生的春天,1,0.6308317783800358,26.0,16.40162623788093,0.3691682216199642,32,32
评论者,做,一键杀虾工具,1,0.6326400905984557,23.0,14.550722083764482,0.3673599094015443,59,59
吉利,快,人一步,1,0.6137893270802766,23.0,14.117154522846361,0.38621067291972344,10,10
下一个人,受益,机器debug,1,0.6986737905117223,20.0,13.973475810234445,0.3013262094882777,33,33
马斯克,太自大,态度,2,1.354777931659847,21.0,13.661427766254063,0.3226110341700765,34,34
公司,扯到,蛋,1,0.671724856144617,20.0,13.434497122892338,0.32827514385538303,4,4
公司,用,AI节省人力,1,0.671724856144617,20.0,13.434497122892338,0.32827514385538303,4,4
